junction,closure_rate,prediction_accuracy,avg_prediction_error
BucheryJunction,0.09090909090909091,1.0,0.13511343
FTI Junction(KanteeravaStudio),0.09090909090909091,0.9090909090909091,0.32845247
KundanahalliGateJunc,0.09090909090909091,1.0,0.20903307
NaganathapuraJunction,0.08333333333333333,0.8333333333333334,0.25401023
BEL Circle,0.08,0.96,0.18147957
Batrayanapura(Amrutahalli)Junction,0.07142857142857142,1.0,0.16211078
BilekahalliJunc,0.07142857142857142,1.0,0.014722558
UttarahalliJunction,0.06666666666666667,1.0,0.019733058
TownhallJunction,0.06666666666666667,0.7666666666666667,0.44989583
Deverabeesanahalli-ORR Junc,0.06666666666666667,0.8666666666666667,0.27660373
KIMCO Junction,0.06451612903225806,0.9354838709677419,0.21016163
IndianExpressJunction,0.0625,0.9375,0.21605772
Nagavara-ORR Junction,0.0625,0.90625,0.14281318
Sumanhalli,0.0625,0.9375,0.18025498
toll gate mysore road,0.06060606060606061,0.9090909090909091,0.17163533
JakkurCrossJunction,0.05555555555555555,0.9444444444444444,0.17589316
YelhankaBypass,0.05263157894736842,0.9473684210526315,0.2884907
GoruguntepalyaJunc,0.05,0.95,0.13524894
SRS Peenya Junc,0.05,1.0,0.09443964
KhodaysCircle(DV UrsCircle),0.043478260869565216,1.0,0.2100635
BigBazaarJunction(OldMadrasRd),0.038461538461538464,1.0,0.09945963
BagalurCrossJunc,0.037037037037037035,1.0,0.084151894
HesaraghattaJunction,0.03333333333333333,0.8,0.22712325
YeshwanthpuraCircle,0.02631578947368421,0.8947368421052632,0.14464968
SatteliteBusStandJunc,0.023255813953488372,0.9069767441860465,0.11923408
AyyappaTempleJunc,0.02040816326530612,1.0,0.033909068
MekhriCircle,0.015625,0.984375,0.058090407
OldMadrasRd-DoubleRdJunc,0.0,1.0,0.2962763
OldMadrasRd-BMTC DepotJunc,0.0,1.0,0.2755934
OldMadrasRd-Indranagar100ftRdJunc,0.0,1.0,0.1906293
TrinityCircle,0.0,1.0,0.08357629
TumkurRdMarappanapalyaJunc,0.0,1.0,0.037674997
TyagiHengalvarayaJunc(DickensonRd),0.0,1.0,0.24067529
UCO Bank(Forum),0.0,1.0,0.20964113
UrvashiJunction,0.0,1.0,0.39415804
NationalCollege,0.0,1.0,0.108272165
