Feature,Importance
cat__month_March,0.0023804384
cat__junction_N R SquareJunc,0.002365986
cat__junction_LeprosyhospitalJunc,0.0023635386
"cat__junction_Trilight Circle,Race course Road",0.002297103
cat__junction_HennurRd-DavisRdJunction,0.0021850823
"cat__junction_PriyadarshiniHotel,Jayamahal,RT Nagar",0.0021773002
cat__junction_ShivajiTalkiesJunc,0.0021771528
cat__junction_KodigehalliCross,0.0021386505
cat__junction_EliteJunc,0.0020520207
cat__event_cause_vip_movement,0.0020321032
cat__junction_Nagarbhavi,0.0020223868
cat__junction_AnandRaoJunction,0.0019897746
cat__junction_KoramangalaWaterTankJunc,0.0019848794
cat__junction_GokuldasImagesJunc,0.0019761743
cat__junction_JohnsonMarket,0.001899683
cat__junction_YelhankaCircle,0.0018750656
cat__junction_MaratahalliBridgeJunc,0.0017897019
cat__junction_MinskSquare(CTO Junction),0.0016715975
cat__junction_UttarahalliJunction,0.0015455203
cat__junction_BigBazaar(Whitefield)Junc,0.0013999771
cat__junction_UniversityJunc(Janabharti),0.0010970412
"cat__junction_Bellandur Junction, Outer ring road",0.00079774053
cat__junction_SubbannaJunction,0.00034954768
cat__day_name_Saturday,0.00029536246
cat__junction_BasaweshwaraCircle,0.0
cat__junction_BhashyamCircle,0.0
cat__junction_BhashyamCircle-SadashivNagar,0.0
cat__junction_SindhiColonyJunction,0.0
cat__junction_BhadrappaLayout,0.0
cat__junction_BegumMahalJunc,0.0
cat__junction_SonyworldJunction,0.0
cat__junction_South end circle,0.0
cat__junction_Srigandakaval,0.0
cat__junction_Srinivagilu(Ejipura)Junc,0.0
cat__junction_Basveshwarnagar 8th main Junction,0.0
cat__junction_SirsiCircle,0.0
cat__junction_ItmaduJunction,0.0
cat__junction_Bommanahalli,0.0
cat__junction_ChaudrayaCircle/UdayaTVCircle(CantonmentJunc),0.0
cat__junction_RajajinagarEntranceJunction,0.0
cat__junction_D'SouzaCircle,0.0
cat__junction_RamaiahCircle-UlsoorPoliceStation,0.0
cat__junction_RamamurthyNagarJunction,0.0
cat__junction_CommandoHospitalJunc,0.0
cat__junction_CoffeeBoardJunc,0.0
cat__junction_CholurpalyaJunction(MagadiRd),0.0
cat__junction_RoyanCircle-Chamrajpete,0.0
cat__junction_Chokasandra (Tumkur road),0.0
cat__junction_ChandrikaJunction,0.0
cat__junction_SwagathMainRd-EastEndRdJunc,0.0
cat__junction_SafinaPlazaJunc,0.0
cat__junction_SagarHospitalJunc,0.0
cat__junction_ChandraLayoutJunc-nearWaterTank,0.0
cat__junction_CashPharmacyJunction,0.0
cat__junction_CMH Rd-AdarshTheaterJunc,0.0
cat__junction_SarjapurRd-St JohnsRdJunc,0.0
cat__junction_CIL CrossJunction-JayamahalRd,0.0
cat__junction_ShankarMuttCircle,0.0
cat__junction_BrigadeMillenium,0.0
cat__junction_BasavamantapaJunc-Dr RajkumarRd,0.0
cat__junction_ThomasCafe-New,0.0
cat__junction_TC Palya-OM RoadJunc,0.0
cat__junction_TVS CrossJunction,0.0
cat__junction_AshirwadamCircle,0.0
cat__junction_Arts&CraftsCircle,0.0
cat__event_cause_Fog / Low Visibility,0.0
cat__junction_ArakereGateJunc,0.0
cat__day_name_Friday,0.0
cat__day_name_Monday,0.0
cat__day_name_Sunday,0.0
cat__day_name_Thursday,0.0
cat__junction_AnjaneyaTempleJunc,0.0
cat__day_name_Wednesday,0.0
cat__month_April,0.0
cat__month_December,0.0
cat__junction_AnilKumbleCircle,0.0
cat__junction_AdugodiJunc,0.0
cat__junction_ASC Junction,0.0
cat__junction_A S CharStreet-MysoreRdJunc,0.0
cat__junction_5thMainRPC Layout-Vijayanagar,0.0
cat__junction_5thMainHSR,0.0
cat__junction_29thMainRdBTM LayoutJunc,0.0
cat__junction_Yemalur cross junc,0.0
cat__junction_BDA Junctio-Koramangala,0.0
cat__junction_YediyurMeternityHospital,0.0
cat__junction_BagalakunteCrossJunction,0.0
cat__junction_TamarikannanJunc,0.0
cat__event_cause_debris,0.0
cat__junction_Rajajinagagr1stBlockJunction,0.0
cat__junction_Basappa Circle Junction,0.0
cat__junction_Bamboobazar(Shivajinagar),0.0
cat__junction_TumkurRdMarappanapalyaJunc,0.0
cat__junction_TyagiHengalvarayaJunc(DickensonRd),0.0
cat__junction_UCO Bank(Forum),0.0
cat__junction_UpparpetJunction,0.0
cat__junction_WiproJunc-Koramangala,0.0
cat__junction_BTM16thMain-ORR Junc,0.0
cat__junction_BHEL Gate,0.0
cat__junction_VeerasandraGateJunction,0.0
cat__junction_VetenaryHospitalJunc-Shivajinagar,0.0
cat__junction_VijayanagarBusStandJunction,0.0
cat__junction_WebbsCircle,0.0
cat__junction_WilsonGarden10thCrossJunc,0.0
cat__junction_BEML GateJunc(SuranjandasRd),0.0
cat__junction_Rajajinagar19thMainJunc,0.0
cat__junction_PrasannaJunction,0.0
cat__junction_RRR(Okalipuram)Junction,0.0
cat__junction_KanakapuraRd-RingRdJunction,0.0
cat__junction_KatriguppeJunction,0.0
cat__junction_KogilluCrossJunc,0.0
cat__junction_KonanakunteJunction(KanakapurarRd),0.0
cat__junction_HalliThindi,0.0
cat__junction_Kudlu Gate Junc,0.0
cat__junction_HainsJunc,0.0
cat__junction_KuvempuCircle,0.0
"cat__junction_KuvempuCircleJunc,HAL MainGate",0.0
cat__junction_LRDE Junction,0.0
cat__junction_HSR14thMainJunc,0.0
cat__junction_LalbaghWestGate,0.0
cat__junction_28thMainJayanagarJunc,0.0
cat__junction_LinkRoadMalleswaramJunc,0.0
cat__junction_LowerAgaram(IndiaGarage)Junc,0.0
cat__junction_MC Circle,0.0
cat__junction_GovindapuraCross,0.0
cat__junction_MS RamaiahJunc(TollGate),0.0
cat__junction_MSRamaiahHospitalJunc,0.0
cat__junction_MahalaxmiLayoutEntranceJunc,0.0
cat__junction_HennurRoad-ORR Junc,0.0
cat__junction_KamrajRdJunction,0.0
cat__junction_Malleswaram18thCrossRd-SampigeRdJunc,0.0
cat__junction_Kammanahalli-RingRoadJunction,0.0
cat__junction_JP Nagar 15th cross junction,0.0
cat__junction_Indiranasgar13thMainJunc,0.0
cat__junction_JaiMuniRaoCircle,0.0
cat__junction_Jaipuria-Adugodi,0.0
cat__junction_IbblurJunction',0.0
cat__junction_ISRO Junction-NewBEL Rd,0.0
cat__junction_JayadevaHospitalJunc,0.0
"cat__junction_Jayanagar 4th main,36th cross",0.0
cat__junction_K G Junction,0.0
cat__junction_HunsemarammanahalliJunction,0.0
cat__junction_HulimaveRd-BanneraghattaRdJunc,0.0
cat__junction_HosmatJunction,0.0
cat__junction_KCG HospitalJunction,0.0
cat__junction_HoramavuJunction,0.0
cat__junction_KR Road-14thCross Junc,0.0
cat__junction_KadirenahalliJunction,0.0
cat__junction_HopefarmJunction,0.0
cat__junction_KalyanNagar-ORR Junc,0.0
cat__junction_KamakyaJunction,0.0
cat__junction_GorappanapalyaJunction,0.0
cat__junction_ManipalCentreJunc,0.0
cat__junction_QueensStatueCircle,0.0
cat__junction_ElectronicCityGate-2Junc,0.0
cat__junction_Dr RajkumarRd-10thCrossRdJunc,0.0
cat__junction_OldMadrasRd-BMTC DepotJunc,0.0
cat__junction_OldMadrasRd-DoubleRdJunc,0.0
cat__junction_DoddaballapuraCrossJunc,0.0
cat__junction_DhobiGhatJunc,0.0
cat__junction_OldMadrasRd-SuddaguntepalyaRdJunc,0.0
cat__junction_OldPoliceStation-Ashoknagar,0.0
cat__junction_DevegowdaPetrolBunkJunc,0.0
cat__junction_PES-DevegowdaCircle,0.0
cat__junction_Peenya14thCrossJunc,0.0
cat__junction_DevangaHostelJunction,0.0
